"proyek","kode_kavling","luas_bangunan_m2","luas_tanah_m2","id_kavling","progres_bangun"
"Marison Pati","K18","30","60","Marison Pati-K18","100%"
"Marison Pati","K19","30","60","Marison Pati-K19","100%"
"Marison Pati","K20","30","60","Marison Pati-K20","100%"
"Marison Pati","K21","30","60","Marison Pati-K21","100%"
"Marison Pati","K22","30","60","Marison Pati-K22","100%"
"Marison Pati","K23","30","60","Marison Pati-K23","100%"
"Marison Pati","L01","30","60","Marison Pati-L01","100%"
"Marison Pati","L02","30","60","Marison Pati-L02","100%"
"Marison Pati","L03","30","60","Marison Pati-L03","100%"
"Marison Pati","L04","30","60","Marison Pati-L04","100%"
"Marison Pati","L05","30","60","Marison Pati-L05","100%"
"Marison Pati","L06","30","60","Marison Pati-L06","100%"
"Marison Pati","L07","30","60","Marison Pati-L07","100%"
"Marison Pati","L08","30","60","Marison Pati-L08","100%"
"Marison Pati","L09","30","60","Marison Pati-L09","100%"
"Marison Pati","L10","30","60","Marison Pati-L10","100%"
"Marison Pati","L11","30","60","Marison Pati-L11","100%"
"Marison Pati","L12","30","60","Marison Pati-L12","100%"
"Marison Pati","M01","30","60","Marison Pati-M01","100%"
"Marison Pati","M02","30","60","Marison Pati-M02","100%"
"Marison Pati","M03","30","60","Marison Pati-M03","75%"
"Marison Pati","M04","30","60","Marison Pati-M04","75%"
"Marison Pati","M05","30","60","Marison Pati-M05","75%"
"Marison Pati","M06","30","60","Marison Pati-M06","75%"
"Marison Pati","N01","30","96","Marison Pati-N01","100%"
"Marison Pati","N02","30","84","Marison Pati-N02","100%"
"Marison Pati","N03","30","84","Marison Pati-N03","100%"
"Marison Pati","N04","30","84","Marison Pati-N04","100%"
